,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
660,Tsiroanomandidy,MG,75.67,overcast clouds,-18.7667,46.0333,Hotel Ravinala
661,Gamba,GA,76.19,overcast clouds,-2.65,10.0,
665,Narasannapeta,IN,79.38,clear sky,18.4167,84.05,G.lingaraju home
666,Esmeraldas,BR,70.11,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
670,Hualmay,PE,68.95,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
671,Diamantino,BR,71.15,overcast clouds,-14.4086,-56.4461,Hotel Delta
673,Manggar,ID,79.14,overcast clouds,-2.8833,108.2667,Guest Hotel
677,Durban,ZA,80.02,broken clouds,-29.8579,31.0292,Hilton Durban
679,Lethem,GY,78.39,overcast clouds,3.3803,-59.7968,Savannah Inn
680,Wanaka,NZ,72.48,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
