City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,Sao Jose Da Coroa Grande,-8.8978,-35.1478,80.24,77,35,11.48,BR,2022-01-07 22:23:08
168,Ancud,-41.8697,-73.8203,74.23,75,5,9.89,CL,2022-01-07 22:23:09
169,Kasama,-10.2129,31.1808,62.58,97,86,2.15,ZM,2022-01-07 22:23:09
170,Leningradskiy,69.3833,178.4167,-8.16,99,100,4.9,RU,2022-01-07 22:23:09
171,Kupino,54.3663,77.2981,20.35,94,87,15.43,RU,2022-01-07 22:23:10
172,Ayan,56.45,138.1667,-3.62,78,100,10.6,RU,2022-01-07 22:23:10
173,Liuzhou,24.3126,109.3892,49.95,75,100,6.58,CN,2022-01-07 22:23:10
174,Taga,46.95,24.05,27.3,60,4,2.3,RO,2022-01-07 22:23:11
175,Rocha,-34.4833,-54.3333,71.46,57,70,12.1,UY,2022-01-07 22:23:11
176,Talnakh,69.4865,88.3972,-3.8,93,95,15.97,RU,2022-01-07 22:23:12
177,Doha,25.2867,51.5333,60.78,75,2,5.75,QA,2022-01-07 22:23:12
178,Gornopravdinsk,60.05,69.9,25.29,97,100,4.5,RU,2022-01-07 22:23:12
179,Biharamulo,-2.6319,31.3089,62.19,84,93,2.64,TZ,2022-01-07 22:23:13
180,Paamiut,61.994,-49.6678,22.53,86,100,25.88,GL,2022-01-07 22:23:13
181,San Cristobal,7.7669,-72.225,75.38,45,83,1.03,VE,2022-01-07 22:23:14
182,Vazante,-17.9869,-46.9078,70.75,93,89,1.61,BR,2022-01-07 22:23:14
183,Saskylakh,71.9167,114.0833,-32.64,100,43,3.87,RU,2022-01-07 22:23:14
184,Ambon,-3.6954,128.1814,77.14,94,40,3.44,ID,2022-01-07 22:21:10
185,Kodiak,57.79,-152.4072,29.71,69,0,16.11,US,2022-01-07 22:24:15
186,Tinskoy,56.1525,96.9161,-14.31,100,67,2.98,RU,2022-01-07 22:24:15
187,Thompson,55.7435,-97.8558,-11.72,94,97,5.06,CA,2022-01-07 22:24:15
188,Qujing,25.4833,103.7833,41.0,96,11,2.26,CN,2022-01-07 22:24:16
189,Bathsheba,13.2167,-59.5167,79.41,73,40,19.57,BB,2022-01-07 22:24:16
190,Longyearbyen,78.2186,15.6401,1.24,66,0,13.8,SJ,2022-01-07 22:24:16
191,Ventspils,57.3894,21.5606,31.93,93,100,5.75,LV,2022-01-07 22:24:17
192,Guane,22.2025,-84.0875,80.4,50,0,1.7,CU,2022-01-07 22:24:17
193,Naze,28.3667,129.4833,59.92,88,100,2.98,JP,2022-01-07 22:24:18
194,Kajaani,64.2273,27.7285,3.25,85,0,1.14,FI,2022-01-07 22:24:18
195,Pemba,-12.974,40.5178,79.48,83,100,7.61,MZ,2022-01-07 22:24:18
196,Uchiza,-8.4592,-76.4633,86.94,56,30,0.69,PE,2022-01-07 22:24:18
197,Kahuta,33.5913,73.3868,46.85,93,100,14.92,PK,2022-01-07 22:24:19
198,Hami,42.8,93.45,23.43,43,6,1.23,CN,2022-01-07 22:24:19
199,Holovyne,50.4712,28.8253,26.78,63,58,6.42,UA,2022-01-07 22:22:15
200,Port Elizabeth,-33.918,25.5701,71.1,94,100,12.66,ZA,2022-01-07 22:22:59
201,Pospelikha,51.95,81.7667,7.95,92,17,7.52,RU,2022-01-07 22:24:20
202,Manokwari,-0.8667,134.0833,77.76,76,89,3.76,ID,2022-01-07 22:24:20
203,Butaritari,3.0707,172.7902,80.98,82,100,18.81,KI,2022-01-07 22:24:21
204,Bucerias,20.75,-105.3333,77.99,69,40,11.5,MX,2022-01-07 22:24:21
205,Clyde River,70.4692,-68.5914,-13.23,80,100,3.85,CA,2022-01-07 22:24:21
206,San Patricio,28.017,-97.5169,51.89,66,100,9.51,US,2022-01-07 22:24:22
207,Sitka,57.0531,-135.33,26.49,43,75,5.75,US,2022-01-07 22:24:22
208,Aginskoye,51.1,114.53,5.65,88,34,9.48,RU,2022-01-07 22:24:22
209,Gat,31.61,34.7642,56.39,66,0,2.44,IL,2022-01-07 22:24:23
