,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bambous Virieux,MU,-20.3428,57.7575,82.22,94,75,2.3,light intensity shower rain
80,Vitim,RU,59.4511,112.5578,1.13,94,100,4.61,overcast clouds
81,Bowen,AU,-20.0167,148.2333,86.56,52,5,16.67,clear sky
82,Xining,CN,36.6167,101.7667,21.27,37,42,2.19,scattered clouds
83,Taoudenni,ML,22.6783,-3.9836,60.33,14,50,8.55,scattered clouds
84,Coldwater,US,41.9403,-85.0005,36.34,86,100,3.44,overcast clouds
85,Thompson,CA,55.7435,-97.8558,-17.45,98,24,4.81,few clouds
86,Cabo San Lucas,MX,22.8909,-109.9124,75.51,74,75,3.44,broken clouds
87,Kahului,US,20.8947,-156.47,78.06,87,40,16.11,scattered clouds
88,Mataura,NZ,-46.1927,168.8643,60.48,41,10,6.29,clear sky
89,Pingzhuang,CN,42.0372,119.2889,16.32,36,0,5.79,clear sky
90,Hasaki,JP,35.7333,140.8333,50.29,44,100,11.23,overcast clouds
91,Biak,ID,-0.9131,122.8766,83.61,65,100,0.27,overcast clouds
92,Chuy,UY,-33.6971,-53.4616,67.73,88,0,7.29,clear sky
93,Tasiilaq,GL,65.6145,-37.6368,15.96,63,42,10.2,scattered clouds
94,Bethel,US,41.3712,-73.414,32.81,76,20,0.0,few clouds
95,Saint-Philippe,RE,-21.3585,55.7679,77.22,84,100,10.56,light rain
96,Novikovo,RU,51.1537,37.8879,3.67,96,86,7.63,overcast clouds
97,Vao,NC,-22.6667,167.4833,77.11,80,20,22.21,few clouds
98,Yerbogachen,RU,61.2767,108.0108,-25.44,100,97,2.39,overcast clouds
99,Fortuna,US,40.5982,-124.1573,54.32,86,0,1.99,clear sky
100,Umm Kaddadah,SD,13.6017,26.6876,72.07,29,56,12.21,broken clouds
101,Diamantino,BR,-14.4086,-56.4461,71.51,92,94,4.43,overcast clouds
102,Port Elizabeth,ZA,-33.918,25.5701,70.11,91,89,8.68,overcast clouds
103,Ngunguru,NZ,-35.6167,174.5,75.16,68,0,16.6,clear sky
104,Mar Del Plata,AR,-38.0023,-57.5575,70.09,79,0,3.0,clear sky
105,Cabinda,AO,-5.55,12.2,76.05,86,100,3.67,overcast clouds
106,Castro,BR,-24.7911,-50.0119,61.48,97,69,4.92,broken clouds
107,Nikolskoye,RU,59.7035,30.7861,30.87,94,100,13.31,light snow
108,Hithadhoo,MV,-0.6,73.0833,82.47,73,100,7.78,overcast clouds
109,Matipo,BR,-20.2839,-42.3411,68.54,93,46,2.46,scattered clouds
110,Asau,RO,46.4333,26.4,13.95,87,48,3.71,scattered clouds
111,Sampit,ID,-2.5333,112.95,81.86,82,98,1.25,overcast clouds
112,Kemijarvi,FI,66.7131,27.4306,31.1,77,100,13.51,overcast clouds
113,Lebu,CL,-37.6167,-73.65,56.5,93,8,5.82,clear sky
114,Kaitangata,NZ,-46.2817,169.8464,61.93,60,16,11.68,few clouds
115,Cidreira,BR,-30.1811,-50.2056,73.06,82,0,14.38,clear sky
116,Soria,ES,41.6667,-2.6667,31.91,65,1,3.62,clear sky
117,Jinka,ET,5.65,36.65,64.78,44,98,2.82,overcast clouds
118,Bairiki,KI,1.3292,172.9752,86.0,70,40,12.66,scattered clouds
119,Sar-E Pul,AF,35.8333,66.1667,35.51,71,93,4.88,overcast clouds
120,Saskylakh,RU,71.9167,114.0833,-36.17,100,70,5.21,broken clouds
121,Kangasala,FI,61.4638,24.076,39.47,85,100,17.47,overcast clouds
122,Oranjemund,NA,-28.55,16.4333,63.88,94,31,4.32,scattered clouds
123,Meulaboh,ID,4.1363,96.1285,80.11,77,87,2.86,overcast clouds
124,Strezhevoy,RU,60.7333,77.5889,1.38,100,99,5.75,overcast clouds
125,Loviisa,FI,60.4566,26.2251,37.45,96,100,15.03,overcast clouds
126,Lagoa,PT,39.05,-27.9833,60.66,75,79,13.44,broken clouds
127,Esperance,AU,-33.8667,121.9,82.53,47,1,13.13,clear sky
128,Brownsville,US,25.9018,-97.4975,60.91,87,100,3.0,overcast clouds
129,North Augusta,US,33.5018,-81.9651,44.15,68,0,0.0,clear sky
130,Ayan,RU,56.45,138.1667,4.71,73,99,1.48,overcast clouds
131,Faanui,PF,-16.4833,-151.75,78.01,84,100,15.64,light rain
132,Puerto Colombia,CO,10.9878,-74.9547,77.09,84,0,22.73,clear sky
133,Deputatskiy,RU,69.3,139.9,-14.94,100,100,1.28,overcast clouds
134,Bogatyye Saby,RU,56.0102,50.4483,12.97,95,100,9.71,snow
135,Plerin,FR,48.5425,-2.7798,44.37,98,39,1.99,scattered clouds
136,Hilo,US,19.7297,-155.09,76.73,87,40,5.75,scattered clouds
137,Bahia Blanca,AR,-38.7196,-62.2724,92.01,20,0,15.9,clear sky
